,repo_name,star,fork,watch,issue,tags,description,contributers,license,repo_url,most_used_lang
0,30daysoflaptops.github.io,7,2,7,0,[],,1,,https://github.com/mojombo/30daysoflaptops.github.io.git,CSS
1,asteroids,93,13,93,3,[],"Destroy your Atom editor, Asteroids style!",2,other,https://github.com/mojombo/asteroids.git,JavaScript
2,benbalter.github.com,5,6,5,0,[],The personal website of Ben Balter. Built using Jekyll and GitHub Pages. See humans.txt for more infos.,30,,https://github.com/mojombo/benbalter.github.com.git,CSS
3,bert,199,67,199,11,[],BERT (Binary ERlang Term) serialization library for Ruby.,9,mit,https://github.com/mojombo/bert.git,Ruby
4,bert.erl,94,51,94,6,[],Erlang BERT encoder/decoder,1,mit,https://github.com/mojombo/bert.erl.git,Erlang
5,bertrpc,157,30,157,0,[],BERTRPC is a Ruby BERT-RPC client library.,6,mit,https://github.com/mojombo/bertrpc.git,Ruby
6,bower,4,3,4,0,[],A package manager for the web,19,mit,https://github.com/mojombo/bower.git,JavaScript
7,chronic,3101,458,3101,146,[],Chronic is a pure Ruby natural language date parser.,30,mit,https://github.com/mojombo/chronic.git,Ruby
8,clippy,953,180,953,24,[],Clippy is a very simple Flash widget that makes it possible to place arbitrary text onto the client's clipboard.,1,mit,https://github.com/mojombo/clippy.git,
9,conceptual_algorithms,4,2,4,0,[],,1,,https://github.com/mojombo/conceptual_algorithms.git,
10,cubesixel,22,3,22,1,[],A pixel font (native size 7x7) I made in a different life,1,mit,https://github.com/mojombo/cubesixel.git,
11,docz-website,1,0,1,0,[],,24,,https://github.com/mojombo/docz-website.git,TypeScript
12,egitd,109,17,109,1,[],The Erlang git-daemon,1,mit,https://github.com/mojombo/egitd.git,Erlang
13,endo,3,2,3,0,[],Test repo for talk.,2,,https://github.com/mojombo/endo.git,
14,erlang_pipe,19,3,19,0,[],A pipe implementation in pure Erlang,1,,https://github.com/mojombo/erlang_pipe.git,Erlang
15,erlectricity,339,47,339,4,[],Erlectricity exposes Ruby to Erlang and vice versa.,6,mit,https://github.com/mojombo/erlectricity.git,Ruby
16,erlectricity-presentation,4,4,4,0,[],,1,,https://github.com/mojombo/erlectricity-presentation.git,
17,erlenmeyer,7,0,7,0,[],A binding between erlang and mzscheme.,1,,https://github.com/mojombo/erlenmeyer.git,Scheme
18,ernie,451,54,451,9,[],Ernie is an Erlang/Ruby BERT-RPC Server.,5,mit,https://github.com/mojombo/ernie.git,Erlang
19,eventmachine,10,4,10,0,[],"EventMachine: fast, simple event-processing library for Ruby programs",12,,https://github.com/mojombo/eventmachine.git,Ruby
20,fakegem,3,1,3,0,[],This is a fake gem so I can test GitHub's gem building when I need to,1,mit,https://github.com/mojombo/fakegem.git,Ruby
21,fixture-scenarios,17,13,17,1,[],This plugin allows you to create 'scenarios' which are collections of fixtures and ruby files that represent a context against which you can run tests.,1,mit,https://github.com/mojombo/fixture-scenarios.git,Ruby
22,git,10,5,10,0,[],"GitHub mirror of the publicly available git repo, updated hourly.  It's here so we can use the collaboration tools of GitHub. Updates ONLY from git public repo.  If you want changes pulled, contact the git team, not me.",30,other,https://github.com/mojombo/git.git,C
23,git-bzr,7,1,7,0,[],A bidirectional Git - Bazaar gateway,1,,https://github.com/mojombo/git-bzr.git,
24,github-flavored-markdown,183,90,183,36,[],GitHub's Flavor of Markdown,1,,https://github.com/mojombo/github-flavored-markdown.git,
25,github-gem,5,0,5,0,[],The official `github` command line helper for simplifying your GitHub experience.,12,mit,https://github.com/mojombo/github-gem.git,Ruby
26,glowstick,29,11,29,1,[],"A realtime, OpenGL graphing library for Ruby",1,,https://github.com/mojombo/glowstick.git,Ruby
27,god,2170,493,2170,116,[],Ruby process monitor,30,mit,https://github.com/mojombo/god.git,Ruby
28,gollum-demo,74,215,74,3,[],Gollum test repo,1,,https://github.com/mojombo/gollum-demo.git,Perl
29,grit,1927,527,1927,26,[],**Grit is no longer maintained. Check out libgit2/rugged.** Grit gives you object oriented read/write access to Git repositories via Ruby.,30,mit,https://github.com/mojombo/grit.git,Ruby
30,abbot-from-scratch,8,4,8,1,[],,3,,https://github.com/wycats/abbot-from-scratch.git,Ruby
31,abbot-ng,2,2,2,0,[],a place to store my in-progress work on the redone SproutCore build tools,1,,https://github.com/wycats/abbot-ng.git,Ruby
32,activerecord-import,2,1,2,0,[],Extraction of the ActiveRecord::Base#import functionality from ar-extensions for Rails 3 and beyon,8,,https://github.com/wycats/activerecord-import.git,Ruby
33,active_params,7,1,7,0,[],,1,mit,https://github.com/wycats/active_params.git,
34,agendas,0,1,0,0,[],TC39 meeting agendas,20,,https://github.com/wycats/agendas.git,
35,alexandria,10,2,10,0,[],Ruby bindings to the Google Data API,1,,https://github.com/wycats/alexandria.git,Ruby
36,allocation_counter,7,2,7,0,[],,1,mit,https://github.com/wycats/allocation_counter.git,Ruby
37,argon,12,1,12,5,[],,1,,https://github.com/wycats/argon.git,Rust
38,argon-example,1,0,1,0,[],,1,,https://github.com/wycats/argon-example.git,
39,artifice,215,15,215,12,[],Replaces Net::HTTP with a subclass that routes all requests to a Rack application,6,mit,https://github.com/wycats/artifice.git,Ruby
40,asdf,33,5,33,3,[],Make the current directory available on port 9292,1,,https://github.com/wycats/asdf.git,Ruby
41,at-media,3,1,3,0,[],The code from my @media talk,1,,https://github.com/wycats/at-media.git,
42,atom-pain-split,0,1,0,0,[],"Adds additional pane-splitting commands to your favorite editor, provided your favorite editor is Atom.",3,agpl-3.0,https://github.com/wycats/atom-pain-split.git,CoffeeScript
